Date / Time           ,KWH(ch: 1  set:0)    
,
2016/07/01 0:15,103.3
2016/07/01 0:30,103.52
2016/07/01 0:45,103.42
2016/07/01 1:00,101.73
2016/07/01 1:15,100.73
2016/07/01 1:30,102.3
2016/07/01 1:45,101.77
2016/07/01 2:00,101.07
2016/07/01 2:15,100.5
2016/07/01 2:30,100.45
2016/07/01 2:45,100.69
2016/07/01 3:00,100.77
2016/07/01 3:15,101.18
2016/07/01 3:30,100.13
2016/07/01 3:45,100.49
2016/07/01 4:00,102.2
2016/07/01 4:15,101.21
2016/07/01 4:30,101.21
2016/07/01 4:45,101.32
2016/07/01 5:00,102.94
2016/07/01 5:15,105.06
2016/07/01 5:30,104.79
2016/07/01 5:45,109.58
2016/07/01 6:00,110.08
2016/07/01 6:15,116.95
2016/07/01 6:30,117.62
2016/07/01 6:45,117.1
2016/07/01 7:00,119.45
2016/07/01 7:15,121.5
2016/07/01 7:30,121.48
2016/07/01 7:45,121.52
2016/07/01 8:00,119.78
2016/07/01 8:15,121.06
2016/07/01 8:30,123.5
2016/07/01 8:45,123.03
2016/07/01 9:00,122.92
2016/07/01 9:15,124.28
2016/07/01 9:30,127.71
2016/07/01 9:45,125.9
2016/07/01 10:00,126.59
2016/07/01 10:15,127.59
2016/07/01 10:30,129.19
2016/07/01 10:45,130.97
2016/07/01 11:00,131.66
2016/07/01 11:15,133.12
2016/07/01 11:30,132.59
2016/07/01 11:45,134.67
2016/07/01 12:00,136.23
2016/07/01 12:15,135.5
2016/07/01 12:30,137.27
2016/07/01 12:45,135.5
2016/07/01 13:00,133.73
2016/07/01 13:15,135.37
2016/07/01 13:30,135.21
2016/07/01 13:45,130.99
2016/07/01 14:00,130.55
2016/07/01 14:15,133.25
2016/07/01 14:30,131.25
2016/07/01 14:45,131.03
2016/07/01 15:00,131.87
2016/07/01 15:15,128.44
2016/07/01 15:30,127.57
2016/07/01 15:45,125.77
2016/07/01 16:00,125.36
2016/07/01 16:15,126.65
2016/07/01 16:30,123.47
2016/07/01 16:45,123.24
2016/07/01 17:00,119.86
2016/07/01 17:15,119.4
2016/07/01 17:30,120.19
2016/07/01 17:45,117.58
2016/07/01 18:00,116.91
2016/07/01 18:15,112.21
2016/07/01 18:30,118.83
2016/07/01 18:45,118.76
2016/07/01 19:00,115.8
2016/07/01 19:15,115.88
2016/07/01 19:30,115.9
2016/07/01 19:45,113.82
2016/07/01 20:00,111.95
2016/07/01 20:15,111.01
2016/07/01 20:30,110.08
2016/07/01 20:45,110.17
2016/07/01 21:00,108.07
2016/07/01 21:15,108.57
2016/07/01 21:30,108.42
2016/07/01 21:45,107.65
2016/07/01 22:00,105.74
2016/07/01 22:15,106.45
2016/07/01 22:30,105.12
2016/07/01 22:45,104.34
2016/07/01 23:00,104.51
2016/07/01 23:15,104.29
2016/07/01 23:30,104.08
2016/07/01 23:45,103.1
2016/07/02 0:00,103.01
2016/07/02 0:15,102.68
2016/07/02 0:30,102.06
2016/07/02 0:45,101.64
2016/07/02 1:00,101.64
2016/07/02 1:15,101.09
2016/07/02 1:30,101.68
2016/07/02 1:45,100.77
2016/07/02 2:00,100.13
2016/07/02 2:15,99.92
2016/07/02 2:30,100.03
2016/07/02 2:45,100.15
2016/07/02 3:00,99.19
2016/07/02 3:15,99.08
2016/07/02 3:30,100.31
2016/07/02 3:45,99.76
2016/07/02 4:00,98.16
2016/07/02 4:15,98.33
2016/07/02 4:30,99.65
2016/07/02 4:45,99.77
2016/07/02 5:00,98.9
2016/07/02 5:15,100.15
2016/07/02 5:30,100.71
2016/07/02 5:45,102.16
2016/07/02 6:00,104.88
2016/07/02 6:15,112.06
2016/07/02 6:30,113.33
2016/07/02 6:45,108.76
2016/07/02 7:00,109.37
2016/07/02 7:15,112.17
2016/07/02 7:30,112.28
2016/07/02 7:45,113.29
2016/07/02 8:00,114.16
2016/07/02 8:15,112.77
2016/07/02 8:30,113.73
2016/07/02 8:45,114.71
2016/07/02 9:00,109.11
2016/07/02 9:15,111.82
2016/07/02 9:30,111.43
2016/07/02 9:45,115.16
2016/07/02 10:00,117.61
2016/07/02 10:15,116.08
2016/07/02 10:30,114.51
2016/07/02 10:45,114.27
2016/07/02 11:00,116.73
2016/07/02 11:15,119.1
2016/07/02 11:30,116.8
2016/07/02 11:45,114.98
2016/07/02 12:00,116.88
2016/07/02 12:15,115.9
2016/07/02 12:30,116.97
2016/07/02 12:45,116.43
2016/07/02 13:00,116.63
2016/07/02 13:15,117.83
2016/07/02 13:30,115.78
2016/07/02 13:45,116.27
2016/07/02 14:00,114.66
2016/07/02 14:15,115.15
2016/07/02 14:30,114.98
2016/07/02 14:45,118.8
2016/07/02 15:00,116.09
2016/07/02 15:15,115.24
2016/07/02 15:30,115.13
2016/07/02 15:45,114.7
2016/07/02 16:00,113.25
2016/07/02 16:15,112.57
2016/07/02 16:30,112.54
2016/07/02 16:45,113.35
2016/07/02 17:00,114.06
2016/07/02 17:15,112.78
2016/07/02 17:30,113.09
2016/07/02 17:45,114.39
2016/07/02 18:00,112.23
2016/07/02 18:15,107.8
2016/07/02 18:30,109.43
2016/07/02 18:45,108.7
2016/07/02 19:00,107.82
2016/07/02 19:15,104.17
2016/07/02 19:30,107.09
2016/07/02 19:45,107.65
2016/07/02 20:00,105.49
2016/07/02 20:15,104.62
2016/07/02 20:30,105.18
2016/07/02 20:45,105.36
2016/07/02 21:00,103.67
2016/07/02 21:15,103.51
2016/07/02 21:30,104.27
2016/07/02 21:45,103.73
2016/07/02 22:00,102.75
2016/07/02 22:15,103.09
2016/07/02 22:30,103.88
