Date / Time           ,KWH(ch: 1  set:0)    
2016-07-01 00:00:00,310.24
2016-07-01 01:00:00,406.53
2016-07-01 02:00:00,402.71
2016-07-01 03:00:00,402.57
2016-07-01 04:00:00,405.94
2016-07-01 05:00:00,422.37
2016-07-01 06:00:00,461.75
2016-07-01 07:00:00,483.95
2016-07-01 08:00:00,487.37
2016-07-01 09:00:00,500.80999999999995
2016-07-01 10:00:00,514.34
2016-07-01 11:00:00,532.04
2016-07-01 12:00:00,544.5
2016-07-01 13:00:00,535.3000000000001
2016-07-01 14:00:00,526.08
2016-07-01 15:00:00,513.65
2016-07-01 16:00:00,498.72
2016-07-01 17:00:00,477.03
2016-07-01 18:00:00,466.71
2016-07-01 19:00:00,461.40000000000003
2016-07-01 20:00:00,443.21000000000004
2016-07-01 21:00:00,432.71000000000004
2016-07-01 22:00:00,421.65
2016-07-01 23:00:00,415.98
2016-07-02 00:00:00,409.39
2016-07-02 01:00:00,405.18
2016-07-02 02:00:00,400.23
2016-07-02 03:00:00,398.34
2016-07-02 04:00:00,395.90999999999997
2016-07-02 05:00:00,401.91999999999996
2016-07-02 06:00:00,439.03
2016-07-02 07:00:00,447.11000000000007
2016-07-02 08:00:00,455.37
2016-07-02 09:00:00,447.52
2016-07-02 10:00:00,462.46999999999997
2016-07-02 11:00:00,467.61
2016-07-02 12:00:00,466.18
2016-07-02 13:00:00,466.51
2016-07-02 14:00:00,463.59000000000003
2016-07-02 15:00:00,461.15999999999997
2016-07-02 16:00:00,451.71000000000004
2016-07-02 17:00:00,454.32
2016-07-02 18:00:00,438.16
2016-07-02 19:00:00,426.73
2016-07-02 20:00:00,420.65000000000003
2016-07-02 21:00:00,415.18
2016-07-02 22:00:00,412.70000000000005
2016-07-02 23:00:00,410.85
2016-07-03 00:00:00,427.9
2016-07-03 01:00:00,422.71999999999997
2016-07-03 02:00:00,420.15
2016-07-03 03:00:00,416.13
2016-07-03 04:00:00,412.62
2016-07-03 05:00:00,411.71
2016-07-03 06:00:00,422.22
2016-07-03 07:00:00,455.84999999999997
2016-07-03 08:00:00,469.40999999999997
2016-07-03 09:00:00,464.71000000000004
2016-07-03 10:00:00,480.39000000000004
2016-07-03 11:00:00,501.13
2016-07-03 12:00:00,508.17999999999995
2016-07-03 13:00:00,503.57
2016-07-03 14:00:00,500.4
2016-07-03 15:00:00,490.13
2016-07-03 16:00:00,478.32
2016-07-03 17:00:00,462.96
2016-07-03 18:00:00,438.28
2016-07-03 19:00:00,423.06
2016-07-03 20:00:00,416.57
2016-07-03 21:00:00,407.55999999999995
2016-07-03 22:00:00,410.57
2016-07-03 23:00:00,410.46000000000004
2016-07-04 00:00:00,405.55000000000007
2016-07-04 01:00:00,402.75
2016-07-04 02:00:00,403.71
2016-07-04 03:00:00,404.61
2016-07-04 04:00:00,400.19000000000005
2016-07-04 05:00:00,410.7
2016-07-04 06:00:00,438.68
2016-07-04 07:00:00,449.36
2016-07-04 08:00:00,469.5
2016-07-04 09:00:00,464.13
2016-07-04 10:00:00,472.11
2016-07-04 11:00:00,485.03
2016-07-04 12:00:00,488.90999999999997
2016-07-04 13:00:00,489.5
2016-07-04 14:00:00,480.59999999999997
2016-07-04 15:00:00,478.03
2016-07-04 16:00:00,468.23
2016-07-04 17:00:00,449.56
2016-07-04 18:00:00,452.25
2016-07-04 19:00:00,435.74
2016-07-04 20:00:00,433.23
2016-07-04 21:00:00,423.98
2016-07-04 22:00:00,417.75000000000006
2016-07-04 23:00:00,414.33
2016-07-05 00:00:00,413.99
2016-07-05 01:00:00,409.34
2016-07-05 02:00:00,408.41999999999996
2016-07-05 03:00:00,405.78999999999996
2016-07-05 04:00:00,406.53999999999996
2016-07-05 05:00:00,417.88
2016-07-05 06:00:00,462.03
2016-07-05 07:00:00,483.71000000000004
2016-07-05 08:00:00,487.57
2016-07-05 09:00:00,504.07
2016-07-05 10:00:00,503.70000000000005
2016-07-05 11:00:00,519.23
2016-07-05 12:00:00,528.47
2016-07-05 13:00:00,529.55
2016-07-05 14:00:00,518.8399999999999
2016-07-05 15:00:00,520.17
2016-07-05 16:00:00,509.2
2016-07-05 17:00:00,487.44
2016-07-05 18:00:00,466.63
2016-07-05 19:00:00,448.93999999999994
2016-07-05 20:00:00,420.85
2016-07-05 21:00:00,415.76
2016-07-05 22:00:00,414.27
2016-07-05 23:00:00,409.31
2016-07-06 00:00:00,405.22
2016-07-06 01:00:00,399.24
2016-07-06 02:00:00,396.83000000000004
2016-07-06 03:00:00,396.05
2016-07-06 04:00:00,398.15
2016-07-06 05:00:00,414.94
2016-07-06 06:00:00,457.81
2016-07-06 07:00:00,487.42
2016-07-06 08:00:00,495.53
2016-07-06 09:00:00,503.29
2016-07-06 10:00:00,512.7
2016-07-06 11:00:00,521.3199999999999
2016-07-06 12:00:00,544.22
2016-07-06 13:00:00,544.35
2016-07-06 14:00:00,539.49
2016-07-06 15:00:00,535.4200000000001
2016-07-06 16:00:00,503.96000000000004
2016-07-06 17:00:00,481.65
2016-07-06 18:00:00,464.64
2016-07-06 19:00:00,456.59
2016-07-06 20:00:00,433.98
2016-07-06 21:00:00,425.85
2016-07-06 22:00:00,419.29999999999995
2016-07-06 23:00:00,414.64000000000004
2016-07-07 00:00:00,410.96999999999997
2016-07-07 01:00:00,405.64
2016-07-07 02:00:00,405.62
2016-07-07 03:00:00,406.04
2016-07-07 04:00:00,404.05
2016-07-07 05:00:00,415.61
2016-07-07 06:00:00,459.0
2016-07-07 07:00:00,474.61
2016-07-07 08:00:00,499.84999999999997
2016-07-07 09:00:00,496.49
2016-07-07 10:00:00,507.09
2016-07-07 11:00:00,518.41
2016-07-07 12:00:00,522.0600000000001
2016-07-07 13:00:00,518.0999999999999
2016-07-07 14:00:00,522.41
2016-07-07 15:00:00,498.19
2016-07-07 16:00:00,487.87
2016-07-07 17:00:00,463.69000000000005
2016-07-07 18:00:00,452.76
2016-07-07 19:00:00,437.82
2016-07-07 20:00:00,422.57000000000005
2016-07-07 21:00:00,408.18
2016-07-07 22:00:00,408.96000000000004
2016-07-07 23:00:00,404.28
2016-07-08 00:00:00,401.61
2016-07-08 01:00:00,397.11
2016-07-08 02:00:00,396.50000000000006
2016-07-08 03:00:00,395.44
2016-07-08 04:00:00,396.1
2016-07-08 05:00:00,405.13
2016-07-08 06:00:00,446.24
2016-07-08 07:00:00,476.43
2016-07-08 08:00:00,495.03000000000003
2016-07-08 09:00:00,497.47
2016-07-08 10:00:00,485.46
2016-07-08 11:00:00,495.39
2016-07-08 12:00:00,494.5799999999999
2016-07-08 13:00:00,496.1
2016-07-08 14:00:00,488.12
2016-07-08 15:00:00,482.04999999999995
2016-07-08 16:00:00,481.8
2016-07-08 17:00:00,460.44
2016-07-08 18:00:00,431.15999999999997
2016-07-08 19:00:00,415.3
2016-07-08 20:00:00,408.84999999999997
2016-07-08 21:00:00,402.2
2016-07-08 22:00:00,397.0
2016-07-08 23:00:00,397.16999999999996
2016-07-09 00:00:00,396.65999999999997
2016-07-09 01:00:00,393.52
2016-07-09 02:00:00,393.65999999999997
2016-07-09 03:00:00,387.77000000000004
2016-07-09 04:00:00,386.50999999999993
2016-07-09 05:00:00,393.44
2016-07-09 06:00:00,417.12999999999994
2016-07-09 07:00:00,420.92
2016-07-09 08:00:00,434.35999999999996
2016-07-09 09:00:00,450.26
2016-07-09 10:00:00,458.84
2016-07-09 11:00:00,457.98
2016-07-09 12:00:00,444.61
2016-07-09 13:00:00,447.79
2016-07-09 14:00:00,440.15
2016-07-09 15:00:00,435.81999999999994
2016-07-09 16:00:00,433.34000000000003
2016-07-09 17:00:00,425.86
2016-07-09 18:00:00,411.67
2016-07-09 19:00:00,401.21
2016-07-09 20:00:00,398.44
2016-07-09 21:00:00,397.40999999999997
2016-07-09 22:00:00,394.84999999999997
2016-07-09 23:00:00,393.33000000000004
2016-07-10 00:00:00,411.46
2016-07-10 01:00:00,406.61
2016-07-10 02:00:00,402.34
2016-07-10 03:00:00,402.72999999999996
2016-07-10 04:00:00,401.98999999999995
2016-07-10 05:00:00,404.65
2016-07-10 06:00:00,420.80999999999995
2016-07-10 07:00:00,442.90999999999997
2016-07-10 08:00:00,463.04999999999995
2016-07-10 09:00:00,473.34000000000003
2016-07-10 10:00:00,460.63
2016-07-10 11:00:00,464.15
2016-07-10 12:00:00,464.37
2016-07-10 13:00:00,474.79
2016-07-10 14:00:00,474.23
2016-07-10 15:00:00,465.50000000000006
2016-07-10 16:00:00,452.61
2016-07-10 17:00:00,444.53999999999996
2016-07-10 18:00:00,432.83
2016-07-10 19:00:00,422.15999999999997
2016-07-10 20:00:00,409.65999999999997
2016-07-10 21:00:00,404.42
2016-07-10 22:00:00,399.96999999999997
2016-07-10 23:00:00,396.96999999999997
2016-07-11 00:00:00,391.84000000000003
2016-07-11 01:00:00,387.52
2016-07-11 02:00:00,379.78999999999996
2016-07-11 03:00:00,378.63
2016-07-11 04:00:00,379.9
2016-07-11 05:00:00,404.46000000000004
2016-07-11 06:00:00,424.04
2016-07-11 07:00:00,469.64
2016-07-11 08:00:00,508.47
2016-07-11 09:00:00,503.65000000000003
2016-07-11 10:00:00,518.81
2016-07-11 11:00:00,533.73
2016-07-11 12:00:00,545.7
2016-07-11 13:00:00,555.37
2016-07-11 14:00:00,556.57
2016-07-11 15:00:00,537.6999999999999
2016-07-11 16:00:00,515.1
2016-07-11 17:00:00,484.96000000000004
2016-07-11 18:00:00,468.68
2016-07-11 19:00:00,457.0
2016-07-11 20:00:00,444.13
2016-07-11 21:00:00,427.11
2016-07-11 22:00:00,421.59999999999997
2016-07-11 23:00:00,417.75
2016-07-12 00:00:00,415.05
2016-07-12 01:00:00,412.13000000000005
2016-07-12 02:00:00,410.8
2016-07-12 03:00:00,407.54
2016-07-12 04:00:00,402.86
2016-07-12 05:00:00,387.48
2016-07-12 06:00:00,295.05
2016-07-12 07:00:00,429.24
2016-07-12 08:00:00,454.13
2016-07-12 09:00:00,477.03999999999996
2016-07-12 10:00:00,478.0
2016-07-12 11:00:00,485.09
2016-07-12 12:00:00,483.36
2016-07-12 13:00:00,477.15999999999997
2016-07-12 14:00:00,467.34
2016-07-12 15:00:00,462.28
2016-07-12 16:00:00,456.58
2016-07-12 17:00:00,444.05999999999995
2016-07-12 18:00:00,431.3
2016-07-12 19:00:00,401.64
2016-07-12 20:00:00,392.25
2016-07-12 21:00:00,370.53
2016-07-12 22:00:00,365.73999999999995
2016-07-12 23:00:00,363.06000000000006
2016-07-13 00:00:00,358.5
2016-07-13 01:00:00,354.71999999999997
2016-07-13 02:00:00,351.14
2016-07-13 03:00:00,346.91999999999996
2016-07-13 04:00:00,342.63
2016-07-13 05:00:00,363.36
2016-07-13 06:00:00,397.93
2016-07-13 07:00:00,429.43
2016-07-13 08:00:00,472.43
2016-07-13 09:00:00,493.1
2016-07-13 10:00:00,473.68
2016-07-13 11:00:00,488.53
2016-07-13 12:00:00,493.88
2016-07-13 13:00:00,500.95000000000005
2016-07-13 14:00:00,498.69000000000005
2016-07-13 15:00:00,505.03
2016-07-13 16:00:00,489.27
2016-07-13 17:00:00,458.46000000000004
2016-07-13 18:00:00,431.74
2016-07-13 19:00:00,410.67
2016-07-13 20:00:00,383.68999999999994
