,,,,,,
당진자재창고,,KPX,,RTU,,
date,device_id,순방향,역방향,usage,차이,usage / 1000 * 720
2020-05-25 0:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 0:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 1:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 2:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 3:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 4:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 5:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 6:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 6:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 6:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 6:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 6:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 6:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,48,0,0,48,0
2020-05-25 6:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,48,0,1000,-952,720
